# Originally 197 with B and T (13 invited)
#  -> 197 * 4 + 13 * 8 = 892 pages, 800 is the max
# Total: 169 
# Final: 161 = 10 I + 31 O + 105 P    [790 pages]   82%
# Draft:   0 =  0 I +  0 O +   1 P
# Blank:   6 =  0 I +  1 O +   1 P
#
# tagnames in this file and script processor
# in final_count:  set editors = (PJT MWP ok EMW BAT PHOTO)
#
Wang, Rui                         ; P1-17    finalp v3                 EMW ok                 PHOTO
##NOPAPER Wicenec, Andreas        ; P10-16   #
##NOPAPER Wise	                  ; I2-1     #
##NOPAPER Woods, Paul             ; P13-21   #
#Xiao, Jian                       ; P1-18    #
Long, Min                         ; P1-18    finalp V3 copy            BAT ok
##Xu, Yang                        ; P12-16   #
Yamaguchi, Masayuki               ; P13-22   finalp V3 copy            BAT ok
##Yunfei, Xu                      ; P9-4     #
Zapart				  ; O3-1     finalp v0	copy           BAT ok
Zecevic				  ; O10-2    finalp v3  copy           PJT ok2
##Zhang, Yanxia                   ; P1-19    #
#
Derriere, Sebastien               ; T1       finalp V3 copy            BAT ok
#Young, Michael David             ; T2                                     sent email -> he will try; jan-8
#Heinl, Hendrik                   ; T3                                     sent email; jan-8; feb-1
Momcheva, Ivelina                 ; T4       finalp V1                 MWP ok
#
Tollerud, Erik                    ; B1       finalp v1 copy            BAT ok
Mink, Jessica                     ; B2       finalp v2 copy            BAT ok    1/4 PHOTO?
Polsterer, Kai                    ; B3       finalp v0                 BAT ok
Muench, August                    ; B4       finalp v1                 BAT ok
#O'Toole, Simon                   ; B5                                      sent email; jan 18
Shawhan, Peter                    ; B6       finalp v1                 BAT ok
Allen, Alice                      ; B7       finalp v2                 BAT ok
#
Thomas, Brian                     ; H1       finalp v0 copy            EMW ok
#
Timmes, Frank                     ; D3       finalp v1                 BAT ok
##NOPAPER =D1 datailku
##NOPAPER =D7 nature
##NOPAPER =D2 D5 geneva
##NOPAPER =D4 stsci
##NOPAPER =D5 cds - mark     
##NOPAPER =D9  esa - crist
##NOPAPER =D10 lsst - ranpal
#    D11 sciserver - raddick                      sent email
##Bauer, Gerbs                    ; D8        no paper after all
Allen, Mark                       ; H2        finalp v0                MWP ok
